id,storyImage,storySound,chapter<jpn>,storyTitle<jpn>,storyOutline<jpn>,storyTarget<jpn>
main0-1,-,-,-,-,-,-
main0-2,-,-,-,-,-,-
main0-3,-,-,-,-,-,-
main0-4,-,-,-,-,-,-
main0-5,-,-,-,-,-,-
main0-6,scenario00,character00,プロローグ,知らない夏の少女,未知のウイルスにより、人々は意思をもたぬ怪物となり、世界は崩壊した──そう語る少女。でも、現実の世界でそんな感染症は起きていない。<br><br>彼女の言うことは本当なのか？　だとしたら、彼女はどこにいるのか？<br>今は、この古臭いコンピュータを通して、彼女の話し相手になってやるくらいしかできることはないけれど......。,探索して物資と情報を収集する
main1-1,scenario00,story00,エピソード 1 - 1,感染した男,探索に向かった先で、感染した男と出会った。<br>意識ははっきりしていたし、会話することもできたけれど、様子がおかしかった。<br>彼が断末魔の叫びを上げて、彼の腹を食い破るように、携帯端末が出てきた。<br>まるで、彼の中からたった今産まれたみたいに......<br>あるいは、彼自身が携帯端末になってしまったみたいだと、そう思った。,探索して物資と情報を収集する
main1-2,scenario02,story00,エピソード 1 - 2,山の中のキャンプ,人の消えた町で偶然出会った女性、アカネに案内されて山の中に分け入れば、そこには人がいて、物があって、真ん中で焚き火が燃えていた。廃倉庫を利用したキャンプだった。<br><br>彼女はスマホのことを話さなかった。そのことを喜んでいいのかよくわからないけれど、これからも話ができると思うと、少しほっとした。,キャンプの人々に協力する
main1-3,scenario02,story00,エピソード 1 - 3,世の中のこと,ずっと遠いところの話を聞いているみたいだった。<br><br>本当に、ずっと遠いところなのかもしれない。なんでもない話をしている間、彼女たちはどこにでもいる女の子なのに、それでも、生きている世界はあまりにも違う。<br><br>そのことをどんな風に考えたらいいのか、まだはっきりしない。,キャンプの人々に協力する
main1-4,location14,story00,エピソード 1 - 4,懐かしい景色,海を見て、懐かしいと思う。<br>でも、もう二度と見ることはできないだろう──そんな悲しさが、彼女の言葉の端に見えた。<br><br>彼女自身、まだそれをどう受け入れていいのかわからないでいるらしい。どうしようもなく現実がやってきて、多くを奪っていったのだと思った。,キャンプの人々に協力する
main1-5,scenario03,story00,エピソード 1 - 5,変わらないこと,仕事のこととか、恋のこととか。そんな話をしている間、彼女たちはなんでもない、ただの女の子だった。<br><br>こんなことになっても、そういう日常は消えてなくならないのだと思った。ほっと安心できるようでもあったし、何やら空恐ろしい感じもした。<br>笑いあっている間も、世の中は変わらず、狂っている。,キャンプの人々に協力する
main1-6,-,-,-,-,-,-
main1-7,-,-,-,-,-,-
main1-8,scenario00,story00,エピソード 1 - 6,一人になって,キャンプが襲われた。あの和やかだった場所も、安全ではなかった。安全な場所なんて、たぶん、どこにもない。<br><br>彼女はまた一人で旅を続ける。目的地なんてないだろう。同じ場所に留まってはいずれ物が尽きるというだけで、運転する車に目指すところはない。<br><br>それでも、生きるために旅をしなければならない。,生き延びる
main2-1,scenario00,story00,エピソード 2 - 1,一人旅,一人でいることに慣れてしまった──そう言った彼女が、嘘をついているようには見えなかった。<br>あまりに真っ直ぐな言葉に、どう返事をしていいかわからなかった。<br><br>忘れてしまっていい、と、そう言うときでさえ、彼女は悲しそうに見えなかった。<br>ただ、慣れてしまうことだけを悲しんでいた。,生き延びる
main2-2,location13,story00,エピソード 2 - 2,再会,思わぬ再会だった。まるで奇跡みたいな。<br>ちゃんと生きている人の方が見つけにくいこの世界では、奇跡なんて言葉も全然大げさじゃない。<br><br>第三者と話をして、改めて起きていることの異常さに気づく。このコンピュータは、いったいどこと通信しているのだろう。,キャンプの人々に協力する
main2-3,scenario08,story00,エピソード 2 - 3,アンテナ,アンテナの生えた人間を見た。金属に寄生されたみたいに、身体から鉄のアンテナが生えていた。<br><br>キャンプで暮らしているのは、パンデミックの調査のために集められた研究者たちらしい。彼女たちが調べたところでは、このパンデミックに、原因となるウイルスや細菌はいない。なら、何が原因で、人からアンテナが生えるというのか？,キャンプの人々に協力する
main2-4,location13,story00,エピソード 2 - 4,語りかけられて,感染者から摘出したアンテナを回路に繋いでみれば、何かしらの信号を受信していた。感染者から取り出したほかの品も似たような信号を発することがあるらしい。<br><br>誰かが語りかけている──アカネはそんな想像を語った。語りに応えようとして、人々の身体が狂っていく。<br>なら、語っているのは、誰だろう？,キャンプの人々に協力する
main2-5,-,-,-,-,-,-
main2-6,-,-,-,-,-,-
main2-7,scenario08,story00,エピソード 2 - 5,意識と身体,誰かが語りかけている？<br>いったい誰が語りかけているというのだろう。誰、と問えるような存在ではないかもしれない。宇宙のどこかの星が爆発して、その余波が人の身体を狂わせている、とか。<br><br>そもそも、そんなもので人の身体がおかしくなるだろうか。<br>考えたって、何もかも想像でしかない。,生き延びる
