id,type,tags[],ratio,rarity,size,eventProbability,once,name<jpn>,keyword<jpn>,events[],interactTags[],interactEvents[],speak,image,describe<jpn>
object_beach00,amusement,sea,1,-1,1,0.5,true,割れてしまったサーフボード,サーフボード,itemNotFound00/battle00/itemGetIdTool03,-,-,search,-,これで波に乗ったりしたのだろうか。<br>それとも、何か別のことに使ったのだろうか。
object_shore02,amusement,sea,1,-1,1,0.5,true,投げ出された釣り道具,釣り道具,itemGetIdTool03/itemGetIdTool03/itemGetMedicine00,-,-,search,-,この辺りは釣れるのだろうか。<br>道具があっても、餌がなければどうにもならないけれど。
amusement00,amusement,house,1,-1,1,0.5,true,壁に掛けられたロードバイク,ロードバイク,itemGetMaterial00/itemGetMaterial00/itemNotFound00,-,-,search,-,-
amusement01,amusement,-,1,-1,1,0.5,true,立てかけられたスケートボード,スケートボード,itemNotFound00/itemGetMaterial00/itemGetMaterial00,-,-,search,-,-
object_bath00,bathware,-,1,-1,1,0.5,true,まだ中身の残ったシャンプー,シャンプー,itemNotFound00/itemNotFound00/itemGetDocument00,-,-,search,-,-
object_bath01,bathware,-,1,-1,3,0.5,true,腐った水の溜まったバスタブ,バスタブ,itemGetArmor00/battle00/accident00,-,-,search,-,浴槽に貯められた水は、もう底が見えないくらいに濁っていた。<br>もともとここにあったのは、ただの水だけだろうか。
object_bath02,bathware,-,1,-1,3,0.5,true,色褪せたシャワーカーテン,シャワーカーテン,battle00/itemGetTool00/accident00,-,-,search,-,-
bathware00,bathware,-,1,-1,2,0.5,true,水の濁った洗面台,洗面台,itemGetIdMaterial01/itemNotFound00/accident00,-,-,search,-,-
object_office00,bookshelf,-,1,-1,3,0.5,true,歯抜けになった本棚,本棚,itemGetDocument00/battle00/itemGetBox00,-,-,search,-,-
object_library03,bookshelf,-,1,-1,3,0.5,true,ぎっしり詰まったアルミの本棚,アルミの本棚,battle00/itemGetDocument00/itemGetGun01,-,-,search,-,-
bookshelf00,bookshelf,shop,1,-1,3,0.5,true,文庫本ばかりの棚,文庫本ばかりの棚,itemGetArmor00/itemGetDocument00/accident00,-,-,search,-,
bookshelf01,bookshelf,shop,1,-1,3,0.5,true,ほとんど残っていない雑誌棚,雑誌棚,itemGetBox00/itemGetDocument00/accident00,-,-,search,-,
object_road01,building,-,1,-1,3,0.5,true,崩れた家屋,家屋,battle00/itemGet00/accident00,-,-,search,-,-
building00,building,-,1,-1,3,0.5,true,空っぽの店舗,店舗,itemGet00/battle00/itemNotFound00,-,-,search,-,
building01,building,-,1,-1,3,0.5,true,小さな町工場,町工場,itemGetIdMaterial00/battle00/itemGetIdMaterial01,-,-,search,-,
object_tent01,campware,-,1,-1,2,0.5,true,何かの詰まった寝袋,寝袋,battle00/itemGet00/check00,-,-,search,-,-
object_tent02,campware,-,1,-1,1,0.5,true,折り畳み式のキャンプチェア,キャンプチェア,itemGetMaterial00/itemGetMaterial00/itemNotFound00,-,-,search,-,少なくとも、誰かがここで寝泊まりしていたのは間違いない。<br>何もかも残して、どこに行ったのだろう。
object_tent03,campware,-,1,-1,2,0.5,true,畳まれたブルーシート,ブルーシート,itemGet00/battle00/battle00,-,-,search,-,-
